expr,FLOPS
lam=0.2534,166
lam=0.2534,184
lam=0.2534,166
lam=0.2534,142
lam=0.2534,157
lam=0.2534,169
lam=0.2534,157
lam=0.2534,180
lam=0.2534,178
lam=0.2534,161
lam=0.1534,173
lam=0.1534,155
lam=0.1534,175
lam=0.1534,180
lam=0.1534,157
lam=0.1534,181
lam=0.1534,187
lam=0.1534,159
lam=0.1534,170
lam=0.1534,179
lam=0.0534,179
lam=0.0534,187
lam=0.0534,164
lam=0.0534,162
lam=0.0534,147
lam=0.0534,153
lam=0.0534,168
lam=0.0534,175
lam=0.0534,168
lam=0.0534,177
